ID,Type,Career,Year
1,Education,Aerobics instructor,1984
2,Education,Aerobics instructor,2009
3,Education,Art teacher,2002
4,Education,Dance teacher,2007
5,Education,Elementary teacher,1985
6,Education,Elementary teacher,1992
7,Education,Elementary teacher,1995
8,Education,Elementary teacher,1996
9,Education,Elementary teacher,2006
10,Education,Elementary teacher,2010
11,Education,Football coach and player,2011
12,Education,Gymnastics coach,2018
13,Education,Sign language teacher,1999
14,Education,Spanish language teacher,2001
15,Education,Special education teacher,
16,Education,Student teacher,1965
17,Education,Swim teacher,2005
18,Education,Swim teacher,2008
19,Education,Yoga teacher,2011
20,Education,Music teacher,2014
21,Education,Music teacher,2019
22,Education,Tennis coach,2017
23,Education,Volleyball coach,2017
24,Medicine,Dentist,1997
25,Medicine,Eye doctor,2015
26,Medicine,Doctor,1988
27,Medicine,Pediatrician,1994
28,Medicine,Pediatrician,2008
29,Medicine,Nurse,1961
30,Medicine,Surgeon,1973
31,Medicine,Veterinarian,1985
32,Medicine,Veterinarian,1996
33,Medicine,Veterinarian,2008
34,Medicine,Veterinarian,2009
35,Military,Army Medic,1993
36,Military,Paratrooper,2000
37,Military,US Army Officer,1989
38,Military,US Army Officer (Desert Storm),1992
39,Military,US Air Force Pilot,1991
40,Military,US Air Force Thunderbirds,1993
41,Military,US Marine Corps Sergeant,1991
42,Military,US Navy petty officer QM1,1991
43,Political ,Chancellor (only in Germany),2013
44,Political ,US President,2000
45,Political ,Presidential candidate,1992
46,Political ,Presidential candidate,2004
47,Political ,Presidential candidate,2008
48,Political ,Presidential candidate,2012
49,Political ,Presidential candidate,2016
50,Political ,UNICEF Ambassador,1989
51,Political ,Vice Presidential candidate,2016
52,Public Service,Firefighter,1995
53,Public Service,Lifeguard (Baywatch),1994
54,Public Service,Police officer,1993
55,Public Service,Canadian Mountie (only in Canada),2005
56,Public Service,Mail Carrier,1995
57,Public Service,Judge,2019
58,Public Service,Park Ranger,2019
59,Science and engineering,Architect,2011
60,Science and engineering,Astronaut,1965
61,Science and engineering,Astronaut,1986
62,Science and engineering,Astophysicist,2019
63,Science and engineering,Computer engineer,2010
64,Science and engineering,Geologist,
65,Science and engineering,Game developer,2016
66,Science and engineering,Robotics engineer,2018
