Career,Year
Registered Nurse,2009
School Photographer,1998
Student Teacher,2009
Teacher,1995
President 2000,2000
Gymnast,1993
Stewardess,2006
Computer Engineer,2010
Entrepreneur,2014
Olympic Gymnast,1996
Firefighter,2015
Zookeeper,2012
Baby Doctor,2003
 Flight Attendant,2012
Mars Explorer,2013
Dessert Chef,2013
Newborn Baby Doctor,2009
Music Star,2007
Gymnastic Champion,2012
Baby Doctor,2003
Travel Agent,1986
Sweet Chef,2013
Rock Star,2013
Pizza Chef,2010
Mars Explorer ,2013
Magician,2013
Baby Sitter,2013
Nursery School Teacher,2012
Dolphin Trainer,2013
Computer Engineer,2010
Gymnastics,2015
Entrepreneur,2014
Tennis Player,2015
Teacher,2015
Soccer Player,2015
Lifeguard,2015
Dentist,2015
Dentist,2016
