Title,Product #,Released,Lowest,Average,Highest,URL,category
Cinderella,16900,1996,1,19.0,55,https://www.barbiedb.com/wp-content/uploads/2020/05/16900-cinderella-776x1024.jpg,movie_show_chars
2019 Holiday,FXF01,2019,9,26.0,67,https://www.barbiedb.com/wp-content/uploads/2021/08/fxf01-2019-holiday.jpg,holiday
The X-Files Giftset,19630,1998,11,28.0,57,https://www.barbiedb.com/wp-content/uploads/2021/08/19630-1998-the-x-files-giftset.jpg,sets
Winter in New York Barbie,19429,1998,4,26.0,106,https://www.barbiedb.com/wp-content/uploads/2021/07/19429-1998-winter-in-new-york-barbie.jpg,city_girl
Holiday Visions Winter Fantasy Barbie,B2519,2003,1,24.0,98,https://www.barbiedb.com/wp-content/uploads/2021/05/holiday-visions-winter-fantasy-barbie.jpg,holiday
Ralph Lauren Barbie,15950,1996,21,48.0,76,https://www.barbiedb.com/wp-content/uploads/2020/05/ralph-lauren-barbie.jpg,fashion_beauty
Holiday Celebration Barbie,56209,2002,1,48.0,51,https://www.barbiedb.com/wp-content/uploads/2020/05/56209-2002-holiday-celebration-barbie-850x1024.jpg,special_occasion
40th Anniversary Barbie,21384,1999,1,48.0,301,https://www.barbiedb.com/wp-content/uploads/2020/05/40th-anniversary-barbie.jpg,special_occasion
1959 The Original Teenage Fashion Model,N4974,2008,19,48.0,90,https://www.barbiedb.com/wp-content/uploads/2022/02/n4974-2008-1959-the-original-teenage-fashion-model.jpg,fashion_beauty
Thai Barbie,18561,1997,4,48.0,46,https://www.barbiedb.com/wp-content/uploads/2021/06/thai-barbie-dolls-of-the-world-483x1024.jpg,nationalities
Splash Of Silver Barbie,P4752,2009,199,301.0,516,https://www.barbiedb.com/wp-content/uploads/2020/05/splash-of-silver-barbie.jpg,special_occasion
Pinch of Platinum Barbie,T7680,2011,175,301.0,275,https://www.barbiedb.com/wp-content/uploads/2020/05/pinch-of-platinum-barbie.jpg,special_occasion
Happy Holidays Barbie 1997 Brunette,17832,1997,1,301.0,1201,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-1997-brunette.jpg,holiday
Flying Hero Barbie,14030,1995,4,301.0,51,https://www.barbiedb.com/wp-content/uploads/2020/05/flying-hero-barbie.jpg,
Barbie Sign Language,25837,1999,17,301.0,73,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-sign-language.jpg,
Barbie Hallmark Keepsake Ornament 1994,QX5216,1994,1,8.0,31,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-hallmark-keepsake-ornament-1994.jpg,holiday
Barbie 1999 Happy Holidays Club Edition Hallmark Ornament,QXC4507,1999,7,8.0,35,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-1999-happy-holidays-club-edition-hallmark-ornament.jpg,holiday
Happy Holidays Barbie 1988,1703,1988,40,8.0,401,https://www.barbiedb.com/wp-content/uploads/2020/05/1703-1988-happy-holidays-barbie-1988-720x1024.jpg,holiday
Evening Sophisticate Barbie,19361,1998,10,8.0,70,https://www.barbiedb.com/wp-content/uploads/2020/05/evening-sophisticate-barbie.jpg,special_occasion
Water Lily Barbie,17783,1997,23,8.0,101,https://www.barbiedb.com/wp-content/uploads/2021/06/water-lily-barbie-1024x924.jpg,limited_edition
